2024-06-15 00:27:16.472; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume, GUID : System_Volume, Mode : 48, ModeKey : 48, Type : System_Function
2024-06-15 00:27:16.475; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume_isMute, GUID : System_Volume_isMute, Mode : False, ModeKey : False, Type : System_Function
2024-06-15 00:27:16.481; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.482; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.482; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.482; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.483; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.483; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.483; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume, GUID : System_Volume, Mode : 48, ModeKey : 48, Type : System_Function
2024-06-15 00:27:16.484; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.484; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.484; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.485; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.485; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.486; INFO; ScenarioProfilePlugIn; 26852; 15816] (CLR_SetCacheXml) AppTag : System_Volume_isMute, GUID : System_Volume_isMute, Mode : False, ModeKey : False, Type : System_Function
2024-06-15 00:27:16.488; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.489; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.489; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.489; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.490; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.491; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.491; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.492; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.493; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.493; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.493; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.493; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.493; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.494; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.494; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.494; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.495; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.495; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.495; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.495; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.496; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.496; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.496; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.496; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.496; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
2024-06-15 00:27:16.496; INFO; User Session Manager; 26852; 15572] OnDeviceChange Start
2024-06-15 00:27:16.496; INFO; DenoiseAI Pluing; 26852; 16224] [DenoiseAI] OnDeviceChange Deinit
2024-06-15 00:27:16.497; INFO; User Session Manager; 26852; 15572] OnDeviceChange End
