2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] Caller : ListenerTimer
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] Enter lock
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][rescanEggAndAddToCollection] Start
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][rescanEggAndAddToCollection] Egg_Path does not exist
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][rescanEggAndAddToCollection] End
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] Start
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] Enter lock
2024-06-17 00:42:35.758; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] Trigger BY SurpriseButton
2024-06-17 00:42:35.758; WARNING; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] Check Festival_Lighting switch => 1
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] --------------------
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] Only Setting SurpriseButton, don't Activate EXE!
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [RogEasterEggManager][activateFestivalsEffect] End
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][ScanContentFolder] Start
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][ScanContentFolder] Language : English
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][ScanContentFolder] Unable to open the PermanentEffect folder.
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][ScanContentFolder] End
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][CheckLSEngineEffect] Start
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][CheckLSEngineEffect] UWPID: 1, DLC_EffectName: 
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][CheckLSEngineEffect] LS Engine Effect isn't DLC Content now.
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][CheckLSEngineEffect] End
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] --------------------
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] ShowExpiredDialog   : 0
2024-06-17 00:42:35.760; INFO; Aura Pluing; 10988; 14044] [ROGDLCManager][GetPermanentEffect] ExpiredEffectName   : 
